“YIG sphere” keyword occurrence from year of 1956 to 2024 by using the Historic word occurrence in academic papers project on github https://github.com/Pold87/academic-keyword-occurrence
year,results
1956,9
1957,10
1958,20
1959,29
1960,59
1961,72
1962,85
1963,66
1964,87
1965,93
1966,101
1967,136
1968,96
1969,115
1970,87
1971,100
1972,105
1973,83
1974,87
1975,94
1976,98
1977,83
1978,77
1979,94
1980,89
1981,96
1982,89
1983,102
1984,86
1985,107
1986,91
1987,112
1988,108
1989,107
1990,137
1991,125
1992,136
1993,123
1994,151
1995,115
1996,144
1997,115
1998,149
1999,135
2000,139
2001,136
2002,178
2003,157
2004,184
2005,152
2006,209
2007,175
2008,177
2009,184
2010,199
2011,245
2012,267
2013,281
2014,291
2015,331
2016,392
2017,409
2018,503
2019,515
2020,579
2021,676
2022,760
2023,960
2024,1240
2025,17
